STT 	 Sản Phẩm                                                                                                                       	 Quy Cách                                                                                                            	 Phân nhóm Cấp 1    	 Phân nhóm Cấp 2                     	 Số đăng ký / Số công bố
  46	 Sữa rửa mặt Gammaphil Gentle Skin Cleanser Chai 125ml Alcon                                                                    	 Chai 125ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 000669/21/CBMP-HCM
  47	 Sữa rửa mặt Gammaphil Gentle Skin Cleanser Chai 500ml Alcon                                                                    	 Chai 500ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 000669/21/CBMP-HCM
  48	 Mỡ tra mắt Tobradex Hộp 1 tuýp 3.5g Alcon                                                                                      	 Tuýp x 3.5g                                                                                                         	 Thuốc kê đơn       	 Mắt                                 	 540110132524
  49	 Hỗn dịch nhỏ mắt Tobradex Hộp 1 chai 5ml Novartis                                                                              	 hộp 1 lọ 5 ml                                                                                                       	 Thuốc kê đơn       	 Mắt                                 	 VN-20587-17
  50	 Thuốc nhỏ mắt Azarga Lọ x 5ml Alcon                                                                                            	 Hộp 1 chai 5ml                                                                                                      	 Thuốc kê đơn       	 Mắt                                 	 540110079123
  51	 Thuốc nhỏ mắt Travatan Lọ x 2.5ml Novartis                                                                                     	 Hộp 1 lọ x 2,5ml                                                                                                    	 Thuốc kê đơn       	 Mắt                                 	 540110031923
  52	 Dung dịch nhỏ mắt Tobrex 3mg/ml Hộp 1 chai 5ml Novartis                                                                        	 hộp 1 lọ 5 ml                                                                                                       	 Thuốc kê đơn       	 Mắt                                 	 VN-19385-15
  53	 Thuốc mỡ tra mắt Tobradex Hộp 1 tuýp 3,5g Novartis                                                                             	 Hộp 1 tuýp 3,5g                                                                                                     	 Thuốc kê đơn       	 Mắt                                 	 540110132524
  54	 Tăm chỉ nha khoa OKAMURA hộp 140 chiếc                                                                                         	 hộp 140 chiếc                                                                                                       	 Hàng tiêu dùng     	 Chăm sóc cá nhân                    	 
  55	 Refresh Tears Hộp 1 chai 15ml Allergan                                                                                         	 Hộp 1 chai 15ml                                                                                                     	 Thuốc không kê đơn 	 Mắt                                 	 VN-19386-15
  56	 Thuốc nhỏ mắt Refresh hộp 15ml Allergan                                                                                        	 hộp 15ml                                                                                                            	 Thuốc không kê đơn 	 Mắt                                 	 VN-19386-16
  57	 Welgra-100 Hộp 1 vỉ x 4 viên nén bao phim Allegens                                                                             	 hộp 1 vỉ x 4 viên                                                                                                   	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 VN-21661-19
  58	 Viên sủi Ion+ Sport Drink 3 Tuýp 20 viên Alpha                                                                                 	 Tuýp 20 viên                                                                                                        	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 28/Alpha/2022
  59	 Viên sủi Plusszs Energy hương bò húc Tuýp 20 viên Alpha                                                                        	 Tuýp 20 viên                                                                                                        	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 13/ALPHA/2023
  60	 Viên sủi plusszs Multivitamin plus Chanh leo Tuýp 20 viên Alpha                                                                	 Tuýp 20 viên                                                                                                        	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 10898/2020/DKSP
  61	 Sodermix Hộp 1 tuýp 15g Amazon                                                                                                 	 Hộp 1 tuýp 15g                                                                                                      	 Trang thiết bị Y tế	 Da Liễu                             	 180000325/PCBA- HN
  62	 Armyvidin Povidone 10% Lốc 10 lọ x 20ml Amepharco                                                                              	 Lốc 10 lọ x 20ml                                                                                                    	 Thuốc không kê đơn 	 Chăm sóc vết thương                 	 S795-H12-05
  63	 Dầu gội nhuộm tóc Shitinsof Hán Phương Linh Chi Hộp 3 gói x 15ml                                                               	 Hộp 3 gói x 15ml                                                                                                    	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 14/15/CBMP-HY
  64	 Nidal Hộp 1 Tuýp x 30g Nhũ tương Ampharco                                                                                      	 Hộp 1 Tuýp x 30g                                                                                                    	 Thuốc không kê đơn 	 Da Liễu                             	 893100274323
  65	 Dung dịch vệ sinh phụ Bơ Lá Bàng Nano Bạc chai 200ml An Đại Phát                                                               	 chai 200ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 
  66	 Dung dịch vệ sinh cho bé Bơ Trầu Không Nano Bạc Chai 200ml An Đại Phát                                                         	 Chai 200ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 
  67	 Bông Gạc Đắp Vết Thương Gói 1 cái An Lành                                                                                      	 6cm x 15cm                                                                                                          	 Trang thiết bị Y tế	 Chăm sóc vết thương                 	 TCCS: 13-2022/TCAL
  68	 Bút thử thai Mochi Test hộp 1 chiếc An Phú Khang                                                                               	 Hộp 1 cái                                                                                                           	 Trang thiết bị Y tế	 Que Thử/Bút Thử/Test                	 
  69	 Bù điện giải Orezo Sports Tuýp 10 viên sủi Anh Đức                                                                             	 Tuýp 10 viên                                                                                                        	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 
  70	 APCO Mictableu Hộp 10 vỉ x 10 viên nén bao đường                                                                               	 10 vỉ x 10 viên viên                                                                                                	 Thuốc không kê đơn 	 Thuốc tiết niệu - sinh dục          	 8574/2018/ĐKSP
  71	 Betacort Hộp 1 tuýp x 10g Apimed Pharma                                                                                        	 Hộp 1 tuýp x 10g                                                                                                    	 Thuốc kê đơn       	 Da liễu                             	 VD-31481-19
  72	 Aqua MD Hộp 20 ống x 10ml Aqua                                                                                                 	 Hộp 20 ống x 10ml                                                                                                   	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 5392/2019/DKSP
  73	 Dung dịch sát khuẩn tay nhanh Asirub 500ml                                                                                     	 Chai x 500ml                                                                                                        	 Thiết bị y tế      	 Chăm sóc cá nhân                    	 VNDP-HC-615-04-12
  74	 Vesicare 5mg Hộp 3 vỉ x 10 viên nén bao phim Astellas                                                                          	 Hộp 3 Vỉ x 10 Viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 VN-16193-13
  75	 Betmiga 50mg Hộp 3 vỉ x 10 viên Astellas                                                                                       	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 1110012025
  76	 Harnal Ocas 0.4mg Hộp 3 vỉ x 10 viên Astellas                                                                                  	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 870110780724
  77	 Xingduo 10/1000 Hộp 4 Vỉ x 7 Viên nén bao phim Astrazeneca                                                                     	 Hộp 4 vỉ x 7 viên                                                                                                   	 Thuốc kê đơn       	 Đái tháo đường                      	 VN3-216-19
  78	 Pulmicort Respules 500mcg/2ml Hộp 4 vỉ x 5 ống AstraZeneka                                                                     	 Hộp 4 vỉ x 5 ống                                                                                                    	 Thuốc kê đơn       	 Thuốc hô hấp                        	 VN-22715-21
  79	 Betaloc 50mg Hộp 3 vỉ x 20 viên nén AstraZeneca                                                                                	 Hộp 3 vỉ x 20 viên nén                                                                                              	 Thuốc kê đơn       	 Thuốc tim mạch - máu                	 690110519924
  80	 Crestor 5mg Hộp 2 vỉ x 14 viên nén bao phim AstraZeneca                                                                        	 Hộp 2 vỉ x 14 viên nén bao phim                                                                                     	 Thuốc kê đơn       	 Thuốc tim mạch - máu                	 VN-19786-16
  81	 Nexium 10mg Hộp 28 gói x 3043mg AstraZeneca                                                                                    	 Hộp 28 gói                                                                                                          	 Thuốc kê đơn       	 Thuốc tiêu hóa - gan mật            	 VN-17834-14
  82	 Betaloc Zok 25 mg Hộp 1vỉ x 14 viên AstraZeneca                                                                                	 Hộp 1vỉ x 14 viên                                                                                                   	 Thuốc kê đơn       	 Thuốc tim mạch - máu                	 VN-17243-13
  83	 Betaloc Zok 50 mg hộp 2 vỉ x 14 viên AstraZeneca                                                                               	 Hộp 2 vỉ x 14 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tim mạch - máu                	 730110022123
  84	 Nexium mups 40mg Hộp 2 vỉ x 7 viên AstraZeneca                                                                                 	 Hộp 2 vỉ x 7 viên                                                                                                   	 Thuốc kê đơn       	 Thuốc tiêu hóa - gan mật            	 VN-19782-16
  85	 Bambec 10mg Hộp 3 vỉ x 10 viên AstraZeneca                                                                                     	 Hộp 3 vỉ x 10 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc hô hấp                        	 VN-16125-13
  86	 Crestor 20mg Hộp 2 vỉ x 14 viên nén bao phim AstraZeneca                                                                       	 Hộp 2 vỉ x 14 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tim mạch - máu                	 VN-18151-14
  87	 Crestor 10mg Hộp 2 vỉ x 14 viên nén bao phim AstraZeneca                                                                       	 Hộp 2 vỉ x 14 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tim mạch - máu                	 VN-18150-14
  88	 Viên ngậm Vitamin C hình vịt Lọ 20 viên AUVINA                                                                                 	 Lọ 20 viên                                                                                                          	 Thực phẩm chức năng	 Vitamin và khoáng chất              	 01/2019/0108354357-CBPH
  89	 Xịt Khoáng Avene Eau Thermale Spring Water Chai 300ml                                                                          	 Chai 300ml                                                                                                          	 Mỹ phẩm            	 Chăm sóc cá nhân                    	 6418953-10131P
  90	 Hindgra 100 Hộp 1 vỉ x 4 viên nén bao phim Axon                                                                                	 hộp 1 vỉ x 4 viên                                                                                                   	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 VN-22294-19
  91	 Canesten 6-Days-Therapy 10mg Hộp 1 vỉ x 6 viên Bayer                                                                           	 Hộp 1 vỉ x 6 viên                                                                                                   	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 400100422923
  92	 Yasmin Hộp 1 vỉ x 21 viên Bayer                                                                                                	 Hộp 1 vỉ x 21 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 400110401023
  93	 Yaz Hộp 1 vỉ x 28 viên Bayer                                                                                                   	 Hộp 1 Vỉ x 28 Viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 400110017525
  94	 Viên sủi Berocca Hộp 1 tuýp 10 viên sủi vị cam Bayer                                                                           	 Hộp 1 tuýp 10 viên sủi                                                                                              	 Thuốc kê đơn       	 Vitamin và khoáng chất              	 899100177223
  95	 Diane 35 Hộp 1 vỉ x 21 viên Bayer                                                                                              	 Hộp 1 vỉ x 21 viên                                                                                                  	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 400110069323
  96	 Avelox 400 Hộp 1 vỉ x 5 viên nén bao phim Bayer                                                                                	 Hộp 1 vỉ x 5 viên                                                                                                   	 Thuốc kê đơn       	 Thuốc kháng sinh                    	 400115400723
  97	 Canesten 6-Days-Therapy 100mg Hộp 1 vỉ x 6 viên Bayer                                                                          	 Hộp 6 viên                                                                                                          	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 400100422923
  98	 Kem bôi chống hăm tã Bepanthen Balm Hộp 1 tuýp x 30g Bayer                                                                     	 Tuýp 30g                                                                                                            	 Mỹ phẩm            	 Chăm sóc mẹ và bé                   	 168423/22/CBMP-QLD
  99	 Canesten Cream 1% Hộp 1 tuýp x 20g Bayer                                                                                       	 Hộp 1 tuýp x 20g                                                                                                    	 Thuốc không kê đơn 	 Da Liễu                             	 890100002524
 100	 Canesten 1-Day 500mg Hộp 1 vỉ x 1 viên đặt âm đạo Bayer                                                                        	 Hộp 1 vỉ x 1 viên đặt âm đạo                                                                                        	 Thuốc kê đơn       	 Thuốc tiết niệu - sinh dục          	 400100768324
